Course Name,Tamil,Gujarati,Malayalam,Hindi,Telugu,Bengali,Kannada,Marathi,English,Assamese,Punjabi
a brief introduction of micro - sensors,,,,63.pdf,,,,,235.pdf,,
acoustic and noise control,,,,,,,,,110.pdf,,
acoustic materials and metamaterials,,,,,,,,,111.pdf,,
adiabatic two phase flow and flow boiling in microchannel,,,,,,,,,388.pdf,,
advanced concrete technology,6.pdf,88.pdf,,47.pdf,,,,,,,
advanced engineering mathematics,,,,,,,,,238.pdf,,
advanced foundation engineering,,,,,,,,,88.pdf,,
advanced linear continuous control systems: applications with matlab programming and simulink,,,,,,,,,328.pdf,,
advanced materials and processes,,,,174.pdf,,,,,,,
advanced metallurgical thermodynamics,,,,,,,,,501.pdf,,
advanced quantum mechanics with applications,,,,,,,,,448.pdf,,
advanced soil mechanics,,,,,,,,,446.pdf,,
advanced thermodynamics,,,,,,,,,253.pdf,,
advanced thermodynamics and molecular simulations,,,,,,,,,366.pdf,,
advanced topics in the science and technology of concrete,108.pdf,,,,,,,,,,
advances in uhv transmission and distribution,,,,,,,,,471.pdf,,
aircraft design,139.pdf,,108.pdf,1.pdf,,,73.pdf,,,,
aircraft dynamic stability & design stability augmentation system,,,,,,,,,350.pdf,,
aircraft propulsion,,,,,,,,,140.pdf,,
aircraft structures - i,,,,,,,,,282.pdf,,
algorithms for big data,,,,,,,,,112.pdf,,
an introduction to materials: nature and properties (part 1: structure of materials),,,,,,,,,44.pdf,,
analog circuits,,,,59.pdf,63.pdf,1.pdf,78.pdf,,,,
analog communication,,,,,,,,,205.pdf,,
analog electronic circuits,,,,,,,,,461.pdf,,
analysis and design principles of microwave antennas,148.pdf,45.pdf,84.pdf,,25.pdf,51.pdf,,34.pdf,,,
analysis and modeling of welding,,,,,,,,,318.pdf,,
antennas,,,,136.pdf,,2.pdf,,,283.pdf,,
application of spectroscopic methods in molecular structure determination,,,,145.pdf,,,,,87.pdf,,
applied ergonomics,,,,105.pdf,,,26.pdf,,92.pdf,,
applied linguistics,59.pdf,,,100.pdf,,,,,,,
"applied optimization for wireless, machine learning, big data",76.pdf,15.pdf,,,,,,,,,
applied thermodynamics for engineers,88.pdf,,33.pdf,65.pdf,76.pdf,91.pdf,,85.pdf,288.pdf,,
applied time-series analysis,,,,,,,,,384.pdf,,
appreciating carnatic music,,,,,,,,,459.pdf,,
appreciating linguistics: a typological approach,150.pdf,,,48.pdf,96.pdf,,,,228.pdf,,
aqueous corrosion and its control,,,,,,,,,505.pdf,,
architectural design of digital integrated circuits,,,,,,,,,319.pdf,,
arithmetic circuit complexity,,,,,,,,,292.pdf,,
artificial intelligence : search methods for problem solving,17.pdf,98.pdf,17.pdf,43.pdf,40.pdf,90.pdf,38.pdf,,397.pdf,,
artificial intelligence: knowledge representation and reasoning,,,,,,,,,480.pdf,,
artistic exploration in scientific research and technology,,,,,,,,,393.pdf,,
bandit algorithm (online machine learning),,,,,,,,,528.pdf,,
basic building blocks of microwave engineering,,,,,,,,,26.pdf,,
basic electric circuits,60.pdf,51.pdf,20.pdf,25.pdf,38.pdf,13.pdf,34.pdf,,,,
basic electrical circuits,,104.pdf,46.pdf,,82.pdf,,,,,,
basic electronics,0.pdf,66.pdf,3.pdf,133.pdf,73.pdf,79.pdf,81.pdf,24.pdf,,,
basic linear algebra,,,,,,,,,417.pdf,,
basic principles and calculations in chemical engineering,122.pdf,80.pdf,,107.pdf,62.pdf,95.pdf,5.pdf,11.pdf,,,
basic statistical mechanics,,,,,,,,,436.pdf,,
basic tools of microwave engineering,,,53.pdf,4.pdf,,,71.pdf,,78.pdf,,
basics in inorganic chemistry,,,,173.pdf,,,,,262.pdf,,
basics of language science,,,,,,,,,148.pdf,,
basics of software-defined radios and practical applications,,,,,,,,,440.pdf,,
bayesian/ mmse estimation for wireless communications -mimo/ ofdm,,,,,,,,,447.pdf,,
behavioral and personal finance,,,,,,,,,161.pdf,,
better spoken english,,,,,,,,,89.pdf,,
big data computing,,,,,,,,,313.pdf,,
bio electricity,,,,,,,,,535.pdf,,
bio-reactors,,,,,,70.pdf,,,,,
bioelectrochemistry,,,,,,,,,131.pdf,,
bioenergy,,,,,,,,,464.pdf,,
bioinformatics: algorithms and applications,,73.pdf,,8.pdf,,,,,,,
bioinorganic chemistry,,,,,,,,,183.pdf,,
biology for engineers and other non-biologists,73.pdf,54.pdf,40.pdf,,75.pdf,,67.pdf,8.pdf,,,
biomedical nanotechnology,35.pdf,4.pdf,,42.pdf,,,,,,,
biomems and microfluidics,,,,,,,,,488.pdf,,
biomicroelectromechanical systems,,,,,,,,,336.pdf,,
bioreactors,152.pdf,95.pdf,100.pdf,46.pdf,7.pdf,,19.pdf,12.pdf,95.pdf,,
biostatistics and design of experiments,87.pdf,,,,,,,52.pdf,127.pdf,,
body language: key to professional success,72.pdf,,,,,,,,,,
brief introduction to psychology,53.pdf,69.pdf,,116.pdf,23.pdf,,6.pdf,,407.pdf,,
building materials and composites,,,,,,,,,45.pdf,,
business analytics & data mining modeling using r-part ii,,,,,,,,,252.pdf,,
business analytics & text mining modeling using python,,,,,,,,,19.pdf,,
business analytics and data mining modeling using r,,37.pdf,,111.pdf,,,,,,,
c programming and assembly language,,39.pdf,,,,,,,365.pdf,,
"calculus for economics, commerce and management",,,,,,,,,405.pdf,,
cell culture technologies,78.pdf,5.pdf,61.pdf,160.pdf,22.pdf,71.pdf,88.pdf,74.pdf,,,
chemical and biological thermodynamics: principles to applications,,,,,,,,,255.pdf,,
chemical applications of symmetry and group theory,,,,,,,,,373.pdf,,
chemical crystallography,,,,,,,,,414.pdf,,
chemical engineering thermodynamics,,,,,,,,,521.pdf,,
chemical process control,,,,183.pdf,,,,,419.pdf,,
chemical process intensification,92.pdf,,,,,,,,,,
chemical reaction engineering-i,,,,,,,,,530.pdf,,
chemistry - i,13.pdf,22.pdf,9.pdf,112.pdf,57.pdf,41.pdf,80.pdf,40.pdf,,,
chemistry - ii,,,,,,,,,21.pdf,,
chemistry i: introduction to quantum chemistry and molecular spectroscopy,,,,,,,,,104.pdf,,
cloud computing,43.pdf,48.pdf,13.pdf,177.pdf,41.pdf,60.pdf,54.pdf,82.pdf,,,
cloud computing and distributed systems,,,,,,,,,121.pdf,,
"cognition, transformation and lives",,,,125.pdf,,,,,465.pdf,,
combustion in air breathing aero engines,,,,,,,,,173.pdf,,
complex network : theory and application,,,,,,,,,398.pdf,,
computational electromagnetics,65.pdf,49.pdf,28.pdf,,36.pdf,18.pdf,2.pdf,64.pdf,,,
computational electromagnetics & applications,,18.pdf,,,,36.pdf,,,117.pdf,,
computational fluid dynamics,,,,,,,,,76.pdf,,
computational physics,,,,,,,,,507.pdf,,
computational science and engineering using python,,,,,,,,,59.pdf,,
computer aided drug design,,,,62.pdf,,,,,,,
computer architecture,132.pdf,,,,33.pdf,,,,339.pdf,,
computer architecture and organization,,,,,,,,,390.pdf,,
computer graphics,,,,,,,,,543.pdf,,
computer integrated manufacturing,,,,,,,,,489.pdf,,
computer networks and internet protocol,91.pdf,,,,,,,,,,
computer numerical control cnc of machine tools and processes,22.pdf,96.pdf,39.pdf,13.pdf,2.pdf,22.pdf,,48.pdf,,,
computer vision,97.pdf,97.pdf,,90.pdf,,,,67.pdf,11.pdf,,
concepts of thermodynamics,2.pdf,,,,,,,,215.pdf,,
concrete engineering and technology,,,,,,,,,2.pdf,,
constitution of india and environmental governance: administrative and adjudicatory process,,,,,,,,,312.pdf,,
constrained and unconstrained optimization,,,,,,,,,481.pdf,,
consumer behaviour,,,,,,,,,422.pdf,,
control systems,,,,,,,,,154.pdf,,
convective heat transfer,,,,,,,,,527.pdf,,
corrosion - part ii,,,,,,,,,386.pdf,,
