PDF Number,Course Name,Link
0.pdf,Disaster Recovery and Build Back Better,https://drive.google.com/drive/u/0/folders/112-IaOcy8diNTU9DwwKl4g7tV0PRrDKc
1.pdf,Analog Circuits,https://drive.google.com/file/d/1-RqJKajtvUAT3L9HsXWwni2Qo2t1Lbq-/edit
2.pdf,Antennas,https://drive.google.com/file/d/1-f74gQRzASDC_vz8quTTgMfwgDXCeWoe/view?usp=sharing
3.pdf,Embedded system design with ARM,https://drive.google.com/file/d/11RnfC4yQwHjvLqgz7ZL_wihX_SlVakUI/view?usp=sharing
4.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/11wCzpKbue7SybG0qiiqMVeHYAi2217CJ/view?usp=drive_link
5.pdf,Advanced Topics in the Science and Technology of Concrete,https://drive.google.com/file/d/12btX8A8E0F1_i_Rg9WFsG-rdg22xlnHa/view?usp=sharing
6.pdf,Nanotechnology - Science and Applications,https://drive.google.com/file/d/12rA4HXlHLEUJ2K6dF6GDV3JpQKtO09fw/view?usp=sharing
7.pdf,Microprocessors and Microcontrollers,https://drive.google.com/file/d/14CZ6q2erz9afALGnR6aj_7SCEPBwxySK/view?usp=drive_link
8.pdf,Energy conservation and waste heat recovery,https://drive.google.com/file/d/14gXGxZdPzKLVue2l9OXq_vQVL23qw8YI/view?usp=drive_link
9.pdf,Fundamentals of electrical engineering,https://drive.google.com/file/d/151boF5ylasF3y4ohaYeOb1cauR05Anjz/view?usp=sharing
10.pdf,Principles of Signals and Systems,https://drive.google.com/file/d/15ArRRv4_uxlw09A-MdSq_3qEFnmoggrs/view?usp=sharing
11.pdf,Course name:Introduction to Internet of Things,https://drive.google.com/file/d/15Vf-KHVw_kK-MnXMsmqQTwcigVaKGEqD/view?usp=sharing
12.pdf,Project planning and control,https://drive.google.com/file/d/15mWLzQeYp1CreGkoA_fQfnvmgU9C-GdA/edit
13.pdf,Basic electric circuits,https://drive.google.com/file/d/16ptmX9tfqlFJPqlwjWL3jr7J5CPPxwf4/view?usp=sharing
14.pdf,Object-Oriented Analysis and Design,https://drive.google.com/file/d/18DTIi0opmpF6cYzH0C5wwYHI-p5rQrXf/view?usp=drive_link
15.pdf,Soft Skill development,https://drive.google.com/file/d/1940e6kJBEHKkmEdM7zRm_J8mQBBrxz4r/edit
16.pdf,Stereochemistry,https://drive.google.com/file/d/19c0ZFu2048oQa-zVZJi-eSzzTVkKpfnm/view?usp=sharing
17.pdf,Introduction to Wireless and Cellular Communications,https://drive.google.com/file/d/1AZHT6sfeyQjDZ0VltH-ew0Vhgy1J-z0A/view
18.pdf,Computational Electromagnetics,https://drive.google.com/file/d/1Ast9klms6PVSqdCgvY3Y9_7Wv4cNBrKw/view?usp=sharing
19.pdf,Digital Electronic Circuits,https://drive.google.com/file/d/1Ba-EP260C0AW-VMmlAckfNvFWeJ85V-_/view?usp=drive_link
20.pdf,Introduction to Programming in C,https://drive.google.com/file/d/1Bs9wwz8n_QaANZBqWN4nhowhoLkstNII/view?usp=sharing
21.pdf,How the Brain Creates Mind,https://drive.google.com/file/d/1DB-sufUenG2T3baoPS1460Tiv33ubTTA/view?usp=sharing
22.pdf,Computer numerical control CNC of machine tools and processes,https://drive.google.com/file/d/1EEjEG_fuKDOcY9xgR1SEQ2jfDaPpWTT9/view?usp=drive_link
23.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1EYPMB1xQNSZbnWoZNXQMfxWG-II5BDjD/view?usp=sharing
24.pdf,Cost Accounting,https://drive.google.com/file/d/1Enz5LgP8GUTn8LO2f9pZdGjn7YL9nhTz/view?usp=drive_link
25.pdf,Emotional Intelligence,https://drive.google.com/file/d/1GHoUO3Zs_dudLpr1Ls4Xh3IIs9qmpzS4/view?usp=drive_link
26.pdf,Health Research Fundamentals,https://drive.google.com/file/d/1GKYMjkyPur6FUr3_XNRJLPoEF1dFB4ce/view?usp=sharing
27.pdf,Project Management,https://drive.google.com/file/d/1GM9jTKYBZu7E7Lfrwy__z6d4rSaMm2MH/view?usp=sharing
