PDF Number,Course Name,Link
0.pdf,Smart Materials and Intelligent System Design,#h.84ksisfgzhq4
1.pdf,Principles of Vibration Control,#h.d6ytbmavsevl
2.pdf,Concrete Engineering and Technology,#h.njz00uxm8dtp
3.pdf,Great Experiments in Psychology,#h.s9971ee7z3i3
4.pdf,Project Planning & Control,#h.wg80ouvwjl72
5.pdf,Digital Image Processing,https://drive.google.com/file/d/1--1M66RNhaKDJiGWpUStNv4K4M8zBEdL/view
6.pdf,Postcolonial Literature,https://drive.google.com/file/d/1-F-HgN2WafzNrzISAUgIP1hXEYhxsmPg/view
7.pdf,Unsaturated Soil Mechanics,https://drive.google.com/file/d/1-Gy98J0GmpYOmdd1-FyRTeqKGZtriIV9/view
8.pdf,"Structure, Form and Architecture : The Synergy",https://drive.google.com/file/d/1-XK5CZEBy8S19qPvIQynMOSr7yyoK36v/view?usp=drivesdk
9.pdf,Engineering Mathematics - I,https://drive.google.com/file/d/1-_k9QB39sYCXDA6fo8gKm5eSs5QnRncr/view
10.pdf,"Design, Technology and Innovation",https://drive.google.com/file/d/1-zsHtxKWkIaddBdxJWJgYUGpIrguHyNF/view
11.pdf,Computer Vision,https://drive.google.com/file/d/108raUlFJ8zUtvHZKswftLM1FfkkuDAXy/view
12.pdf,Introduction to probability and Statistics,https://drive.google.com/file/d/10DHLEObHspqe2Hbd_3PLA6PMXn5wJBxf/view
13.pdf,Rapid Manufacturing,https://drive.google.com/file/d/10GMsOIS018EBpXjWX3FNfgAUV04RfwIK/view
14.pdf,Decision-Making Under Uncertainty,https://drive.google.com/file/d/10Ix9V8MBQRGWXP8qg4krB-7FpPtLlsZz/view
15.pdf,Introduction to Launch Vehicle Analysis and Design,https://drive.google.com/file/d/10fY1isWMVvQTKBxxYIaO2RpPCAIugIwg/view?usp=drivesdk
16.pdf,Short Fiction in Indian Literature,https://drive.google.com/file/d/10hwgT0365PZ7DwMzLfVvd0kwjqIpFDEe/view
17.pdf,Physics of Materials,https://drive.google.com/file/d/10kcWODkWKxbebDYJlRR-uAFcLk1DShCB/view
18.pdf,Folk and Minor Art in India,https://drive.google.com/file/d/10w7idYkY4D5QGnZVCIsBjOQX6lZWyTje/view
19.pdf,Business Analytics & Text Mining Modeling Using Python,https://drive.google.com/file/d/110Sz1vbClUSLODnpmBsGYJz-dzRR6NEV/view
20.pdf,Introduction to Western Political Thought,https://drive.google.com/file/d/11GSAbx5WnoWclXCaVgTyWD5AUZRvbBKU/view
21.pdf,Chemistry - II,https://drive.google.com/file/d/11OM-G-a-py4LFYXk4Fpd2gl34ycf4a9K/view
22.pdf,GPU Architectures and Programming,https://drive.google.com/file/d/11_cmuSzpdXhdx1mvtHBGQvOwyaZ_Px0H/view?usp=drivesdk
23.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/11h2fmhKX-32TVmfsO8aq--W3vD75Tfgf/view
24.pdf,Thermo-Mechanical and Thermo-Chemical Processes,https://drive.google.com/file/d/11s15J6OGPqB7KMHjdLaA7kxKRRP5vUuN/view
25.pdf,MultiCore Computer Architecture-Storage and Interconnects,https://drive.google.com/file/d/120yRwxvAB9w5tCqS3ngB8Z5_NAghEyFK/view
26.pdf,Basic Building Blocks of Microwave Engineering,https://drive.google.com/file/d/123XPRhNRHgzeQIpCUVr3CweC3kuIIWjP/view
27.pdf,Mechanisms in Organic Chemistry,https://drive.google.com/file/d/12tzvn4DYYezL3jMXkdWkpVJPLe9X8ulR/view
28.pdf,Optical communications,https://drive.google.com/file/d/13YzKkzIR17f9ChTukCNJLBpU7z7ta_vv/view
29.pdf,Microelectronics: Devices to Circuits,https://drive.google.com/file/d/13eS5OYaGiNLGnrk17tUITjL_sAseD-ZW/view
30.pdf,Plastic Waste Management,https://drive.google.com/file/d/13o8N9AZrPhFqlAfYsGvHN55RhpgfB-8c/view
