PDF Number,Course Name,Link
0.pdf,Design of Steel Structures,https://drive.google.com/drive/u/0/folders/18IX3i6PWinhEsjoLJztz0FBoHqmOzWTy
1.pdf,Language and Mind,https://drive.google.com/file/d/1-MsTS_uPRoue9l9ROf9jusuEcYwoApjr/view?usp=sharing
2.pdf,Design and Simulation of DC-DC converters using open source tools,https://drive.google.com/file/d/1-PnkUCEg5dZy-Y8IsrJ9xj2rOY4PJ8v1/view?usp=sharing
3.pdf,Introduction to Programming in C,https://drive.google.com/file/d/1-t6zpvxPVle7l1XDnsGqKj5knBa0c23d/view?usp=sharing
4.pdf,Biomedical nanotechnology,https://drive.google.com/file/d/10OZW7qBym6dntwDVQ0W8bynqzcRSSjYA/view?usp=drive_link
5.pdf,Cell Culture Technologies,https://drive.google.com/file/d/10mYw-EUNKvfoHYZSnJmEMVyzddF25zQ1/view?usp=sharing
6.pdf,Managing Services,https://drive.google.com/file/d/112UiF0lGASuhmxrMaHZXEXZ3kTwr_9h4/view?usp=sharing
7.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/11Ljw2HukERY6xKnjGFvPiEFX25dkZrLI/view?usp=drive_link
8.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/11Ljw2HukERY6xKnjGFvPiEFX25dkZrLI/view?usp=drive_link
9.pdf,Manufacturing Systems Technology,https://drive.google.com/file/d/11NuRglWXMtVppMexyzHKoVAdWeVZN9no/view?usp=sharing
10.pdf,Stereochemistry,https://drive.google.com/file/d/12WerAqwldf9jCn60mQhTzpLwhogD1i8H/view?usp=sharing
11.pdf,Principles of Signals and Systems,https://drive.google.com/file/d/12gHEk6cNhK0ZgfMz-kjJ8JfLBspJvoJB/view?usp=drive_link
12.pdf,Industrial Automation and Control,https://drive.google.com/file/d/13bf2UG3p4YdP7hqVOCKCAIPENZv4x5I9/view?usp=drive_link
13.pdf,Design and Analysis of Algorithms,https://drive.google.com/file/d/14-7_XnTertKjgS4Xv_0pezthmMyNl8Ri/view?usp=sharing
14.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/14GxvVkEKyLRiCZWPmLdbxrJdEw7KTpLV/view?usp=sharing
15.pdf,"Applied Optimisation for Wireless, Machine Learning, Big data",https://drive.google.com/file/d/15FTcRdHtVp5cUa44NqLehmncHeO3QlhV/view?usp=sharing
16.pdf,Soft Skills,https://drive.google.com/file/d/17bJ7meHaIt2etBmFgiT-wjQIkEyZgdLF
17.pdf,Heat Transfer,https://drive.google.com/file/d/186IP_ryKkB0U7oW2w_Gjf3u2_s5tVhuX/view?usp=sharing
18.pdf,Computational Electromagnetics & Applications,https://drive.google.com/file/d/189Qs7j78dOOLwvUiGZtxQM3Ur1OsW5mu/view?usp=sharing
19.pdf,Fundamentals of database systems,https://drive.google.com/file/d/18CaGd-EzhXhClr4658cRVAKT_CleF8OA/view?usp=sharing
20.pdf,Energy conservation and waste heat recovery,https://drive.google.com/file/d/18CcVeeWStSPp7JFMyGpsr2TAlJltpQo-/view?usp=sharing
21.pdf,Design of photovoltaic systems,https://drive.google.com/file/d/19T8YT_DR_WoUKkm_3xVZ-CdRfbTum0et/view?usp=sharing
22.pdf,Chemistry - I,https://drive.google.com/file/d/19slEq31rL_NP4SB-AYxSMGuqHTWUIMVE/view?usp=sharing
23.pdf,Health Research Fundamentals,https://drive.google.com/file/d/1AzYMjtp6_bcPg4nyKnTkwNsojlF34XVT/view?usp=sharing
