PDF Number,Course Name,Link
0.pdf,Training of Trainers,https://drive.google.com/file/d/1-JWZ8ZfED5xRxqVEvBwg4otY9ml54lro/view?usp=sharing
1.pdf,Aircraft Design,https://drive.google.com/file/d/1-XnZUkcl2DGjSNId1xkbXhP00jV7NvzL/view?usp=sharing
2.pdf,Optical Communications,https://drive.google.com/file/d/1-erRm6mKet-U2REEAyDJvypbkxIFq-8S/view?usp=sharing
3.pdf,Design of Masonry Structures,https://drive.google.com/file/d/1-lYGI08EI6g8tuzLpBzpu4SFp2web0V7/view?usp=sharing
4.pdf,Basic Tools of Microwave Engineering,https://drive.google.com/file/d/10GRekr1x1e74PvL9tecqh-VstkpaA3HZ/view?usp=sharing
5.pdf,Stereochemistry,https://drive.google.com/file/d/10ZXwHB2R21tT_T3W0MCMn43Kekg_Dm2p/view?usp=sharing
6.pdf,Nonlinear and Adaptive Control,https://drive.google.com/file/d/10_2u0-Ghxy027GdrB7pjI8AJAzmymTeL/view?usp=sharing
7.pdf,Patent Drafting for Beginners,https://drive.google.com/file/d/11CnLaOtIj7Vdtoz1bE6yQrjDa6t6rCgL/view?usp=sharing
8.pdf,BioInformatics: Algorithms and Applications,https://drive.google.com/file/d/11Ul6DQ24pUa1Z7AC74P-x2LlzQhhoQRQ/view?usp=sharing
9.pdf,Effective Writing,https://drive.google.com/file/d/11gxeSeGwtYmYXFqOTGXUog5gtNlPqLad/view?usp=sharing
10.pdf,Introduction to Operations Research,https://drive.google.com/file/d/12t2EkQXdrd6Fx5ITOgCfmLbbmge5QVCv/view?usp=sharing
11.pdf,VLSI Physical Design,https://drive.google.com/file/d/13kJHv1VhlJhdJDS8pIpcR-0sH5TSYOz7/view?usp=sharing
12.pdf,Project Management,https://drive.google.com/file/d/14IdPNDOr-W5Q8aBqtCIf3e7SEclNVMUf/view?usp=sharing
13.pdf,Computer Numerical control of Machine tools and Processing,https://drive.google.com/file/d/14ckpnsEGWXHFmAdASOluNUaIT5791SdG/view?usp=sharing
14.pdf,Introduction to Programming in C,https://drive.google.com/file/d/14jLZlDKqlEm5-iFYNCsTG5J-ZwLgj9Oo/view?usp=sharing
15.pdf,Real Time operating Systems,https://drive.google.com/file/d/14trrWArJVSDmKs-1qQikHfi-qFcQD9PQ/view?usp=sharing
16.pdf,Heat Transfer,https://drive.google.com/file/d/14zMm-waLR2vH8CmTzHxrESh-1bS9Fy5_/view?usp=sharing
17.pdf,"Programming,data Structures and Algorithms",https://drive.google.com/file/d/15qRXAY0LcTDX5kgGqF4ZBTo0GwY1GPQj/edit
18.pdf,Design for Internet of Things,https://drive.google.com/file/d/16hWlrIS2wZ18uP9KsCq3_yJIRpHLRRha/view?usp=sharing
19.pdf,Disability Studies - An Introduction,https://drive.google.com/file/d/17o6B8iGOsKopQULoQVaVnlRMpSZTvBdi/view?usp=sharing
20.pdf,Fluid Dynamics and Turbomachines,https://drive.google.com/file/d/17vJG6fVJdWuJAI5SnAHHK90FQWRV8dFr/view?usp=sharing
21.pdf,Plant Developmental Biology,https://drive.google.com/file/d/17wgrQZQShbFfgfUXfX0v4oCGijT0Opds/view?usp=sharing
22.pdf,Electrical Machines - I,https://drive.google.com/file/d/181CLrYQyKv988I50AMKCSDTp3TeCSKSt/view?usp=sharing
23.pdf,Introduction to Rings and Fields,https://drive.google.com/file/d/18CnzGlmmGdjD8iPgNOFWTeZO6qhl_ijf/view?usp=sharing
24.pdf,Teaching and Learning in Engineering,https://drive.google.com/file/d/18HI1_D5uIam_AHvIHJzzRurqq-7T2PiX/view?usp=sharing
25.pdf,Basic electric circuits,https://drive.google.com/file/d/198TdyrWdOyOu_R5c1RZTdyTnOgIEGyo6/view?usp=sharing
26.pdf,Experimental Physics I,https://drive.google.com/file/d/19w0kaM6Po6-0BlqbQs2fFFl9v_QjIdgq/view?usp=sharing
27.pdf,Object Oriented Analysis and Design,https://drive.google.com/file/d/1AC1opzJGmsC7UchECpdEak7qn0iToHv4/view?usp=sharing
28.pdf,"Mineral Resources: Geology, Exploration, Economics And Environment",https://drive.google.com/file/d/1BQjJ_9OIi-JDWM_2HO7alujqSB77GhsG/view?usp=sharing
29.pdf,Programming in C++,https://drive.google.com/file/d/1BR72CSveteyJ0sNjqRAq_HjPBXZ5rlPq/view?usp=sharing
30.pdf,Introduction To Soft Computing,https://drive.google.com/file/d/1Bpvjn4y3H18OxbY1XgbQDr4Eg9EEtUiM/view?usp=sharing
31.pdf,"Integrated Circuits, Mosfets, OP-Amps and their Applications",https://drive.google.com/file/d/1Bu0vU-t1bV3xDxJxWhJlXJVIWK7RT9Dq/view?usp=sharing
32.pdf,Introduction to Psychology,https://drive.google.com/file/d/1CGfP8Ljw9wuu1iYEDij2cKq0nAX3FSdr/view?usp=sharing
33.pdf,Ethics in Engineering Practice,https://drive.google.com/file/d/1CQL2-Wr1D7X94xFSaBvtWm95-pwCVPaj/view?usp=sharing
34.pdf,Managing Intellectual Property in Universities,https://drive.google.com/file/d/1CwSnlrnzKNSghhkjNNloSCJuuZwgFBfP/view?usp=sharing
35.pdf,Knowledge Management,https://drive.google.com/file/d/1DmsPAeW_Q_5D1O4z9DXTtGduey4ra6He/edit
36.pdf,Electrical Machines,https://drive.google.com/file/d/1E5YOLyDVkVNf0U7YZvH0fcYBXI-6nJIf/view?usp=sharing
37.pdf,Teaching and Learning In General Programs: TALG,https://drive.google.com/file/d/1E7n_Pd-QdH0kZf_nUSIQ9rfhGcHUep3n/view?usp=sharing
38.pdf,Visual Perception and Art -  A Survey across the Cultures,https://drive.google.com/file/d/1EYkhdCJxYkfiiTMn6qusDXRKQvUa13j4/view?usp=sharing
39.pdf,MCDM Techniques Using R,https://drive.google.com/file/d/1F7lCxzs1mtqm7NWwgTbUAxZis3AGDr1_/view?usp=sharing
