PDF Number,Course Name,Link
0.pdf,Soft Skills,https://drive.google.com/file/d/1-WHMZhgqd6qOb6rg2AH0IQ4FHG-6uckB/view?usp=sharing
1.pdf,Managing Intellectual Property in Universities,https://drive.google.com/file/d/1-xsVA5lMaYoHdvIEMA0XQhK8VzqiGzvh/view?usp=sharing
2.pdf,Computational Electromagnetics,https://drive.google.com/file/d/124fOF6P9fY3jOw32MVkEANPzWprM9Jot/view?usp=sharing
3.pdf,"Programming, Data Structures and Algorithms",https://drive.google.com/file/d/12CQKaCWA5tbZV0zhOyPH-CWv5Y4UFw0j/view?usp=drive_link
4.pdf,Health research Fundamentals,https://drive.google.com/file/d/137o2h_PncRe4TqfPJueTkdU7Fdj1B7IY
5.pdf,Basic principles and calculations in chemical engineering,https://drive.google.com/file/d/14FS9m3kbx8D2m1H3GtQ8QgLWVtrGsFKG/view?usp=sharing
6.pdf,Brief Introduction to Psychology,https://drive.google.com/file/d/15ANFXo54EhB2GADu7YFzrFAMVYen5SCR/view?usp=sharing
7.pdf,Experimental Physics I,https://drive.google.com/file/d/15Cp6aKrvsEON3t2gWXdz4LICOTGqNS94/view?usp=drive_link
8.pdf,Non-Conventional Energy Resources,https://drive.google.com/file/d/16dPdpdaW8DWhzzhgPJeDkezkw097Uds3/view?usp=sharing
9.pdf,Introduction to Operating Systems,https://drive.google.com/file/d/17Gaa6CpoRn0Jpluv3s8r9oM1_RNGQGh8/view?usp=sharing
10.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/17KBL819LA--xibUsUO19OF10zUZx_R7l/view?usp=sharing
11.pdf,Psychology of Everyday,https://drive.google.com/file/d/17OJBlzDmV_uSyHhSTj8WiabA9P_hr-iD/view?usp=sharing
12.pdf,Design for internet of things,https://drive.google.com/file/d/180oZAzEJycn6a-GktUTQE4ns64H5n5fv/view?usp=sharing
13.pdf,Fundamentals of electrical engineering,https://drive.google.com/file/d/19KeGDuhfNownIj1pROZAsuiA4gBQbXNK/view?usp=sharing
14.pdf,Engineering Mathematics - I,https://drive.google.com/file/d/1BB_dtQSafsw6TsQLVnlskP6g3PlxyZLW/view?usp=sharing
15.pdf,Training of Trainers,https://drive.google.com/file/d/1BRoIA_cqO_9zk1plRxqCFNRQT5BzZup7/view?usp=sharing
16.pdf,Waves and Oscillations,https://drive.google.com/file/d/1CG6YUyO_qy5ZsUCwiuU7ArbTa-qvLeIC/view?usp=sharing
17.pdf,Electrical Machines -I,https://drive.google.com/file/d/1CVmUXzcgqCMohQDETPnPBShaQiCRG-oz/view?usp=sharing
18.pdf,Introduction to mechanobiology,https://drive.google.com/file/d/1CX4w8MJNV7JlVK06MwQYwVb8R5pASIu_/view?usp=sharing
19.pdf,Bioreactors,https://drive.google.com/file/d/1ClLoU5YJ_7x2QiWKZXE4CKufm8xtg-6p/view?usp=sharing
20.pdf,Real Time Operating System,https://drive.google.com/file/d/1E6efq-9ef6Cj7hMpszIuDQT8mYH7LEn0/view?usp=sharing
21.pdf,"Programming, Data Structures And Algorithms Using Python",https://drive.google.com/file/d/1EQ4ZiOQdeCMn7i0sVxWLtqdYF7i3R_A_/view?usp=sharing
22.pdf,Engineering Mechanics:Statics and Dynamics,https://drive.google.com/file/d/1EowPOIxf73WUXE0PQRneMy-syz2piSc7/view?usp=drive_link
23.pdf,Postcolonial Literature,https://drive.google.com/file/d/1FzFRIMfDgtUTrGDUOTcdx6547JAhZG47/view?usp=sharing
24.pdf,Object-Oriented Analysis and Design,https://drive.google.com/file/d/1GKk8KK76c-8SvDpd2sIDXnh6OZKhEXmj/view?usp=sharing
25.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/1HIUcGCU1IAxK3BboNwPD5BmWTWCULxbq/view?usp=sharing
26.pdf,Applied Ergonomics,https://drive.google.com/file/d/1IjASUJTyj0sYiGcVBXMEng-Gva4SoyZ5/view?usp=sharing
27.pdf,Programming in C++,https://drive.google.com/file/d/1JKkXK7TJY2oNM1MASOLjdoM0SToDgcF0/view?usp=sharing
28.pdf,Managing Services,https://drive.google.com/file/d/1KdT0WGJr1lRURnjkbodWgGr_bbymNk-r/view?usp=sharing
29.pdf,Emotional Intelligence,https://drive.google.com/file/d/1KgelzAp4oTjkoU5s7OwO3i9OCMw0elqG/view?usp=drive_link
30.pdf,Design Practice,https://drive.google.com/file/d/1MKNby8H4p-4XUrKw0tV9BP269OOtCdep/view?usp=sharing
31.pdf,Teaching and Learning in Engineering,https://drive.google.com/file/d/1Oh6UgcwBUGbKLQPve__guj0Y0u5zQ8xw/view?usp=sharing
32.pdf,Product Design and Development,https://drive.google.com/file/d/1RAJv6CDklY_tCgX4vnCCKwzt_ZbYhwyo/view?usp=drive_link
33.pdf,Technical English for Engineers,https://drive.google.com/file/d/1SQFvefE_3ZF3iG6DyU5_pHJM-Uy-YTXo/view?usp=drive_link
34.pdf,Basic electric circuits,https://drive.google.com/file/d/1SQcxmWBhztxDCoZvp_EWl-_0__kI4b-O/view?usp=sharing
35.pdf,How the Brain Creates Mind,https://drive.google.com/file/d/1SqHmThx9_VXc0MPurfyMBc4jdalRDiKD/view?usp=sharing
36.pdf,The Joy of Computing using Python,https://drive.google.com/file/d/1St95JtWm3j30WBlORbZMpDzz6UxBVFQo/view?usp=sharing
37.pdf,Introductory quantum mechanics,https://drive.google.com/file/d/1TCA2fqhRlGrZiMRXMuWMlC2-7u2WBZWp/view?usp=sharing
38.pdf,Artificial Intelligence : Search Methods For Problem solving,https://drive.google.com/file/d/1W13un0DBRRtruU2x_c4y19jE8o8HDdP1/view?usp=drive_link
39.pdf,Embedded system design with ARM,https://drive.google.com/file/d/1W1sVhj6uHh0x2rq13LveBHLsp4XICYZ3/view?usp=sharing
40.pdf,Introduction to wireless and Cellular communications,https://drive.google.com/file/d/1X1qDz3IjWGKB1PhG06DZoZrSuZDGDcg3/view?usp=sharing
41.pdf,Engineering drawing and computer graphics,https://drive.google.com/file/d/1XnoMJZSdA9TKG_SgJ8plfsoEsf7Dij0V/view?usp=sharing
42.pdf,Semiconductor Devices and Circuits,https://drive.google.com/file/d/1ZvrkWhr5kOz_8E2M3GmJNh5vLws8scGc/view?usp=drive_link
43.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/1cB-fgMvYMD8gYXXdycuRUD5VosbWNx3u/view?usp=sharing
44.pdf,Electrical Distribution System Analysis,https://drive.google.com/file/d/1cNOfWAuNdmWmPrvzwQPwJqsaHbWpQsES/view?usp=sharing
45.pdf,Electrical Machines - II,https://drive.google.com/file/d/1cOB8x_1HviICayxxsDzUQf6mx3VmRhYF/view?usp=drive_link
46.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/1dW4giQS7JJibVvlkdThOsRNoiR0OBdAd/view?usp=drive_link
47.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/1db8fEu8DBoh_IhkhOsAK6bDZ-evlgZnr/view?usp=drive_link
48.pdf,Information Security - 5 - Secure Systems Engineering,https://drive.google.com/file/d/1eL6h6kZckRk2NIdof15QqmZH5pTwe8Mp/view?usp=sharing
49.pdf,Database Management System,https://drive.google.com/file/d/1eYh0W-01EPzbjEM21ezp7hlIDGHAVf9p/view?usp=drive_link
50.pdf,Introduction to Rings and Fields,https://drive.google.com/file/d/1eyt1M3XpRsDEWivo6HYtQVQUAyZbpbKI/view?usp=drive_link
51.pdf,Project Management,https://drive.google.com/file/d/1fE3P2_ePPGGXt-vwFu4An94SYfMDmgGk/view?usp=sharing
52.pdf,Microprocessors and Microcontrollers,https://drive.google.com/file/d/1fHZEPr-h-AGnjGPCWdlKGrUmcgIW-xX6/view?usp=sharing
53.pdf,Design and Stimulation of DC-DC converters using open source tools,https://drive.google.com/file/d/1fU12QtWMwUKFrx1AlckHOKwftWfALP95/view?usp=sharing
54.pdf,Cloud Computing,https://drive.google.com/file/d/1frhvApY7zfW3M6zOSgXX1YYi_0BL0xhf
55.pdf,Software testing,https://drive.google.com/file/d/1ghgNgUTNtwPJyPjGGvNvDxB_ZfDNVYUb/view?usp=sharing
56.pdf,Rapid Manufacturing,https://drive.google.com/file/d/1h9uCXMZ28PrzMIOiZKBSRjhFB4TAU4WR/view?usp=drive_link
57.pdf,Privacy and Security in Online Social Media,https://drive.google.com/file/d/1hBf4t9mxzzD19Jd7fd5iHzjZWlAMwGX8/view?usp=sharing
58.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1hwFsL8QZg-QI4KkkORa--l5ZoAzr-xKh
59.pdf,Engineering Mechanics,https://drive.google.com/file/d/1iaUJI15zqwoSLfUpP7bBiitJ79guuiC-/view?usp=drive_link
60.pdf,Advanced Topics in the Science and Technology of Concrete,https://drive.google.com/file/d/1jXVBN9E7W9l4nRfVFxfhT0sDdcMOaEbL/view?usp=sharing
61.pdf,Services Marketing - A Practical Approach,https://drive.google.com/file/d/1j_MtsFLczYwXZPeS4Zy0nxOAfTVI69fX/view?usp=sharing
62.pdf,Differential equations for engineers,https://drive.google.com/file/d/1jd0Q79KJBmg2EDJWZsFcaaeLOgIdXdj6/view?usp=sharing
63.pdf,Introduction to Research,https://drive.google.com/file/d/1jvuXjoe0eEFLT9rcVXZM8ng4nWSQgiAK
64.pdf,Introduction to Industry 4.0 and Industrial Internet of Things,https://drive.google.com/file/d/1kqFbBfzN1C3VXpPgzeTtXqMyEb76Z3fR/view?usp=sharing
65.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/1l76qO3Woji5fANAAhfYNnigM6OH00CKf/view?usp=sharing
66.pdf,"Integrated Circuits, Mosfets, OP-Amps and their Applications",https://drive.google.com/file/d/1l8oUyvlD_b9y01Tdi1gv24xE7yFJXuDM/view?usp=sharing
67.pdf,Biology for engineers and other non-biologists,https://drive.google.com/file/d/1mDh7bMcKv4jKRsEQcCORfm0k_cswjq1c/view?usp=sharing
68.pdf,Globalization and Culture,https://drive.google.com/file/d/1nE_e4ZQDGoAq61DjTE9WU6fRglNH-R6V/view?usp=sharing
69.pdf,Language and Mind,https://drive.google.com/file/d/1nPLDzXUHN-Ymch_22R6ekj22GcgmWGXO/view?usp=sharing
70.pdf,Scheduling Techniques in Projects,https://drive.google.com/file/d/1nd9Bs7rWMZJpulK6dLWMpVUCMu5aIxPI/view?usp=sharing
71.pdf,Basic Tools of Microwave Engineering,https://drive.google.com/file/d/1njRe6W8P4pKsGYlVSK-iz6tgiNv6taG9/view?usp=sharing
72.pdf,Digital Electronic Circuits,https://drive.google.com/file/d/1o7gJazlye5liiXZb6bNSWi9GcF23yQxQ/view?usp=drive_link
73.pdf,Aircraft Design,https://drive.google.com/file/d/1oF_Y4ZNyAEp0P8WagqQtvvfiBJ_4P9I3/view?usp=sharing
74.pdf,Disaster Recovery and Build Back Better,https://drive.google.com/file/d/1oWMOjXLwQYbf52vIlOtztu2i_7BLfpdC/view?usp=sharing
75.pdf,Body Language: Key to Professional Success,https://drive.google.com/file/d/1okVqtGXxgC4SBoh5EYJMu8PRmN5Ipueu/view?usp=sharing
76.pdf,Enhancing Soft Skills and Personality,https://drive.google.com/file/d/1om5CbTBIrMD12Y18ppZe3nodprNh12sy/view?usp=sharing
77.pdf,"Nanotechnology, Science and Applications",https://drive.google.com/file/d/1p1R_0s7n9NimQlunYDnTyxWjooicf9W7/view?usp=drive_link
78.pdf,Analog Circuits,https://drive.google.com/file/d/1pVU9CO1mfsE90m7vEaPy53V9krQAD5aC/view?usp=sharing
79.pdf,Design and analysis of algorithms,https://drive.google.com/file/d/1pbiIctZpty7Y5ynrvWecZjCD562MoKa2/view?usp=sharing
80.pdf,Chemistry - I,https://drive.google.com/file/d/1qF_nCVQI4mSlma41yMX-RPQvSoQ18wZk/view?usp=sharing
81.pdf,Basic Electronics,https://drive.google.com/file/d/1qsT9U3fE740pVqfUhDdNE_gNS3Dysipg
82.pdf,Nonlinear and Adaptive Control,https://drive.google.com/file/d/1sHvX3jUzUmQWYZKyT-RxSDPqqpOGfCFy/view?usp=sharing
83.pdf,Software Project Management,https://drive.google.com/file/d/1sTXh69hxAvDMPSqC42uHKauK_hfJyYxz/view?usp=sharing
84.pdf,Introduction to Programming in C,https://drive.google.com/file/d/1uT4tRg0aIo6qJtyGa1thWc-5SXEpnVkP/view?usp=sharing
85.pdf,Engineering Metrology,https://drive.google.com/file/d/1uWsIzZoyjDalskgAQrv2CvuP9uqY7Gwc/view?usp=sharing
86.pdf,Introduction to Internet of Things,https://drive.google.com/file/d/1uvL_hdxOhkC36AFFEwzdJfveG4RS1b9f/view?usp=drive_link
87.pdf,Principles of Signals and Systems,https://drive.google.com/file/d/1vE30ySZ3PegGwM9X3pQlt2kzj94AlvZS/view?usp=drive_link
88.pdf,Cell Culture Technologies,https://drive.google.com/file/d/1wJ12M_HWUiUTUNzy8Qq3DmiWWHxmNrpC/view?usp=drive_link
89.pdf,Power System Engineering,https://drive.google.com/file/d/1xHYiHl36QgZXlxVJVpOY_9KHWck9Alzq/view?usp=drive_link
90.pdf,Introduction to Electromagnetic Theory,https://drive.google.com/file/d/1xUWPzuUHBXvQ0QCFiqiAK9S7-l6X46Di/view?usp=sharing
91.pdf,Engineering Mathematics II,https://drive.google.com/file/d/1yCKY1kc_j2N-5_0jwOkGZQo-g_mJvHVB/view?usp=sharing
92.pdf,Human Molecular Genetics,https://drive.google.com/file/d/1yuHrPK0ExtN4KWQG8vrJCseDYLdEbJuA/view?usp=sharing
