PDF Number,Course Name,Link
0.pdf,Introduction to Smart Grid,https://drive.google.com/file/d/105z4SB0i7r9NDzwCN8MkAvN4Qwer-Qb4/view?usp=sharing
1.pdf,Introduction to Mechanonbiology,https://drive.google.com/file/d/10BfWye15zhtj0UJyXzVlhfxQSlZ73EZL/view?usp=sharing
2.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/10hmGNRhF-7BxM7WzfC_0zQK5bosEjzjf
3.pdf,Basic Electronics,https://drive.google.com/file/d/126pyOIrqY5OBVvh-CLI1pOZclpv0WM1B/view?usp=sharing
4.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/12eHUzl7WpfOiWRPG7GmWiTm9t5TNiYH4/view?usp=sharing
5.pdf,Real Time Operating System,https://drive.google.com/file/d/12vHfyv6_rGh0UFtqP2aZXez0pCrhrC7P/view?usp=sharing
6.pdf,Engineering Metrology,https://drive.google.com/file/d/135I4ly0D1F2m3jCSQjtoT_fmKUd_6tWD/view?usp=sharing
7.pdf,Introduction to Operating Systems,https://drive.google.com/file/d/13PSoMgKZGziukGE8JJrQovZxcLhudbEU/view?usp=sharing
8.pdf,Postcolonial Literature,https://drive.google.com/file/d/13QPeXfIFz_xjG4mm3y-vJfRKgj98HC3X/view?usp=sharing
9.pdf,Chemistry - I,https://drive.google.com/file/d/145T7WY5nurKCCN-V89RnkNx_GzJcr69R/view?usp=sharing
10.pdf,Industrial Automation and Control,https://drive.google.com/file/d/159hH-zlTYX67_VZsD-iPMFYwijgbUK5M/view?usp=sharing
11.pdf,Introduction to Research,https://drive.google.com/file/d/15YQVF80ScvZE0ODNLz4cZi5u4izrrxPz/view
12.pdf,Data Science for Engineers,https://drive.google.com/file/d/16IP6yCX67kFjHDRprCI1mJYGXPPFu85T/view?usp=sharing
13.pdf,Cloud Computing,https://drive.google.com/file/d/17L9wWOFkjUSQs6Ja_MhZIFkJGPSiXN7d/view?usp=sharing
14.pdf,Introduction to Wireless and Cellular Communications,https://drive.google.com/file/d/18DrvlS6LEh0iapz6rjOYcDpUWxbW5t_Z/view?usp=sharing
15.pdf,Principles of Human Resource Management,https://drive.google.com/file/d/18NdXxW1kmPvjOsTG7l31TNYp1Jqy6BiP/view?usp=sharing
16.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/19Z3iJAIgaj_6LkbFRfmfEuPgQymvIacY/view?usp=sharing
17.pdf,Artificial Intelligence : Search Methods For Problem solving,https://drive.google.com/file/d/19xaCuAYjb6YouC8w8TnJzfuNK2oKNikm/view?usp=drive_link
18.pdf,Software Testing,https://drive.google.com/file/d/1AtPINGWKTubzlXkc1xhIUUPr4evdTQmB/view?usp=sharing
19.pdf,Services Marketing: A Practical Approach,https://drive.google.com/file/d/1B0Dl1diD5sxG18IKak7TJHiHInVM2Rn-/view?usp=sharing
20.pdf,Basic electric circuits,https://drive.google.com/file/d/1BRFLsZCTmxuZiVSVCkDGpqzn0rK06LGA/view?usp=sharing
21.pdf,Introduction to Industry 4.0 and Industrial Internet of Things,https://drive.google.com/file/d/1D-NhsxGq5FzVnt37D5NzBYa4jw4E1ut1/view?usp=sharing
22.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/1E5lQPdXLByCsuoIUxBrtm8x8afZ3f_i8/view?usp=sharing
23.pdf,Enhancing Soft Skills and Personality,https://drive.google.com/file/d/1ESuFOwXaEjD_9nW5g2ix6Vmq9CruUrTy/view?usp=sharing
24.pdf,Globalization and Culture,https://drive.google.com/file/d/1EiiEzwTBqmL7LgNg8rLhqBOD857puCD7/view?usp=sharing
25.pdf,Human Molecular Genetics,https://drive.google.com/file/d/1EqQ667S-PMkWkNOBjBCF9r3qcOR8ZWOQ
26.pdf,"Programming,Data structures and algorithms",https://drive.google.com/file/d/1ExFlI-WYrmU5-hj73wGN9KilRJGxVM4a/view?usp=sharing
