PDF Number,Course Name,Link
0.pdf,Engineering fracture mechanics,https://drive.google.com/drive/u/0/folders/18Zy8qt8f_0VoxhPsFyXTfTBs-7Z-kWQ7
1.pdf,Electrical Distribution System Analysis,https://drive.google.com/file/d/1--4bIVzxj-1ixjfkdGCdTMMr6HTXmBiu/view?usp=sharing
2.pdf,Introduction to Electromagnetic Theory,https://drive.google.com/file/d/1-GuTzjwllBw3FYWHGUFnCvoPDsN-kTMy/view?usp=sharing
3.pdf,Power System Engineering,https://drive.google.com/file/d/1-LIWNegoMkbNhLoSaCq0GjcO5GjZ-771/view?usp=sharing
4.pdf,Disability Studies: An introduction,https://drive.google.com/file/d/1-fYPO0L7vpYWK4q__7o9nwMM_zAQgx5g/view?usp=sharing
5.pdf,Information Security 5 -Secure Systems Engineering,https://drive.google.com/file/d/1-qzi6HhUQyj7jaVjh68bgEprQ0en8ygC/view?usp=sharing
6.pdf,Electrical Measurement and Electronic Instruments,https://drive.google.com/file/d/11J-_4GYD5Uv8QlW-38X0oztR7sxtq4vG/view?usp=sharing
7.pdf,Introduction to Industry 4.0 and Industrial Internet of Things,https://drive.google.com/file/d/12I06ypxbOkr4MjVXKgXiDG_krYcGDM86/view?usp=sharing
8.pdf,Biology for engineers and other non-biologists,https://drive.google.com/file/d/13IQWfGA_QXidXVZtccCC4LjuNdeZ57Nx/view?usp=drive_link
9.pdf,Cost Accounting,https://drive.google.com/file/d/15Ffzcmq410m2hGooxfaK3knLoyZMGWGN/view?usp=drive_link
10.pdf,Programming in C++,https://drive.google.com/file/d/15QsKFZTv_27Je7G5rMPb91v46oq5Wbys/view?usp=sharing
11.pdf,Basic principles and calculations in chemical engineering,https://drive.google.com/file/d/16F09v3CEGHNI-4xM6eS5cs97JHUtynnR/view?usp=sharing
12.pdf,Bioreactors,https://drive.google.com/file/d/16X8BrDycZxP1APzKPbpn6xunYEa249Rl/view?usp=sharing
13.pdf,Brief introduction to Psychology,https://drive.google.com/file/d/19GnO6cecA0zbbXWQHja8EX2NOsaISupd/view?usp=sharing
14.pdf,Management Accounting,https://drive.google.com/file/d/1AeTZJX7BTiurYUbtGeFzKpAUwH834laD/view?usp=sharing
15.pdf,Real Time Operating System,https://drive.google.com/file/d/1D8fV_AOrDoEEY3K0bDaiBzA5gOWOJzyZ/view?usp=sharing
16.pdf,Emotional Intelligence,https://drive.google.com/file/d/1E16AlwWrhTgcSAxHBuA9iTO_hRhML7FJ/view?usp=sharing
17.pdf,Object-Oriented Analysis and Design,https://drive.google.com/file/d/1E4TaTpO1585_SLWV5-dceMAQCYBLk5dh/view?usp=drive_link
18.pdf,Engineering drawing and computer graphics,https://drive.google.com/file/d/1EQRphREcfoXxPLhCZCHYkB8sNrT5Qta1/view?usp=sharing
19.pdf,Introduction to Research,https://drive.google.com/file/d/1EaeAdkjlz42v4LmT_9cvG3eYMKiIpYpm/edit
20.pdf,Embedded System design with ARM,https://drive.google.com/file/d/1EeZ8F23zSQfGzsO5HKhcjdlBXD0JDuxC/view?usp=sharing
21.pdf,Design and analysis of algorithms,https://drive.google.com/file/d/1FThF-wP4vWYl-92XYOdikA6JXW0III7U/view?usp=sharing
22.pdf,Software Project Management,https://drive.google.com/file/d/1GFR1m3fkftwk7t4MhW3jf9RAgqR-oxdW/view?usp=sharing
23.pdf,Soft Skill Development,https://drive.google.com/file/d/1GMP-d4fCpqr2w596Z9N_skAcm5AOF2rV/edit
24.pdf,Basic Electronics,https://drive.google.com/file/d/1GOOU5irY9dPeTGGq2DIovwh-DOjflopv/view?usp=sharing
25.pdf,Disaster Recovery and Build Back Better,https://drive.google.com/file/d/1H37iNtI3BVmzw_H7QCZw75j-JmW4KaRU/view?usp=sharing
26.pdf,Non-Conventional Energy Resources,https://drive.google.com/file/d/1IoA9JT5kmJeKEc5lKzlYKskI2O8TZz7A/view?usp=sharing
27.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/1JV4BauQzjUlsryhmnQJBOgFwrEH_0hNT/view?usp=sharing
28.pdf,Teaching And Learning in Engineering (TALE),https://drive.google.com/file/d/1Jn0dpGu_REEqijcoUEYon_gYzgGaSZ0H/view?usp=drive_link
29.pdf,Privacy and Security in Online Social Media,https://drive.google.com/file/d/1JrtWa0nfp1-K2QhQNElYR0N6y8BPvROE/view?usp=sharing
30.pdf,Soft Skills,https://drive.google.com/file/d/1KyPJG6hsPmudaedDiukhF8UA7fYj3AtN/edit
31.pdf,Health Research Fundamentals,https://drive.google.com/file/d/1Ll9uMx7IImuclmMRJcxActdqWkXgjX1j/view?usp=sharing
32.pdf,Introduction to Psychology,https://drive.google.com/file/d/1M1UCiorFUajeEmd8qBB4d6Vb9SSwLITT/view?usp=sharing
33.pdf,The Joy of Computing using Python,https://drive.google.com/file/d/1M1XOu5-bpSSdv9fU4ChxRUHRVowc1slo/view?usp=drive_link
34.pdf,Analysis and Design Principles of Microwave Antennas,https://drive.google.com/file/d/1MHOE4yAw-lQGczLVwKf_7ouPretb1kml/view?usp=sharing
35.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1MHSBSQQ5mfOsciJSO4rBfapKLoEUio0q/view?usp=sharing
36.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1MHSBSQQ5mfOsciJSO4rBfapKLoEUio0q/view?usp=sharing
37.pdf,Managing Intellectual Property in University,https://drive.google.com/file/d/1My434_D3iGC8Ws5bfTWGhujnUBWLD2tc/view?usp=sharing
38.pdf,Design for internet of things,https://drive.google.com/file/d/1N6TgBrPkm1icdBniJbCfXv2vQr0cR2vY/view?usp=sharing
39.pdf,Design of Masonary Structures,https://drive.google.com/file/d/1NjVMaApFQzHPfRnYSiQ4Y_JhWuC11jm2/view?usp=sharing
40.pdf,Chemistry - I,https://drive.google.com/file/d/1OaZV26ix8bPOxvmLg3TI2nybm_Id5dDP/view?usp=sharing
41.pdf,Employment Communication - A Lab based course,https://drive.google.com/file/d/1Pbh7XyK2rAc8b0EEJ0Kqetpkq7DAVrkd/view?usp=sharing
42.pdf,Psychology of Everyday,https://drive.google.com/file/d/1PqqrsAlWpJXlG4RFY-nbIfgtveB6DRzr/view?usp=sharing
43.pdf,Waves and Oscillations,https://drive.google.com/file/d/1PxHzMNQ2UgGSqUtQn5bQPcgPm4V3qtk2/view?usp=sharing
44.pdf,Dairy and Food Process and Process Technology,https://drive.google.com/file/d/1RqJA8LXNwauq1GIWsKuTtvzknKpBpDKt/view?usp=sharing
45.pdf,Services Marketing: A Practical Approach,https://drive.google.com/file/d/1S9Rgk-nevxM9RKf5Cnb2HZaFvlMmvNNT/view?usp=sharing
46.pdf,Language and Mind,https://drive.google.com/file/d/1SpgGIhiqh8yraiCiwGp2AYuBwWusSNsb/edit
47.pdf,Experimental Physics I,https://drive.google.com/file/d/1TF70L-oqLxz7Brc0u7lD8G90vxCkxbSu/view?usp=sharing
48.pdf,Computer numerical control CNC of machine tools and processes,https://drive.google.com/file/d/1Tbgn8n9HjyzlwO8Q-JtT6dV7kleCETsC/view?usp=share_link
49.pdf,VLSI Physical Design,https://drive.google.com/file/d/1VQ3FR7w4q8uDpS620-9CmUuVGMBGYDGm/view?usp=sharing
50.pdf,Digital Electronic Circuits,https://drive.google.com/file/d/1VpMET1_7-WSmOFPLXqybdRo2Z4Zo2-37/view?usp=sharing
51.pdf,Fundamentals of Electrical Engineering,https://drive.google.com/file/d/1W3aVkm0eLS0RG17YE5UYTdeuSF2g0Y1S/view?usp=sharing
52.pdf,Biostatistics and Design of experiments,https://drive.google.com/file/d/1YeIQfud3Ed236cutO1WDKtTskMg6pSU8/view?usp=drive_link
53.pdf,Basic Electric Circuits,https://drive.google.com/file/d/1ZrnlzD-VknnIOBjg-AffKjUWN3nuod9a/view?usp=sharing
54.pdf,"Integrated Circuits, MOSFETs, Op-Amps and their Applications",https://drive.google.com/file/d/1_eTyF_VFAV2FPpYobghsCctjxyvVXlja/view?usp=sharing
55.pdf,Software Testing,https://drive.google.com/file/d/1aMuFBKYtq2sNafCZbpoyjLlCS7cs9WTh/view?usp=sharing
56.pdf,Engineering mathematics - I,https://drive.google.com/file/d/1b_TOxXLUlv9cs6PxpuVfOqSPlrcXAgO6/view?usp=sharing
57.pdf,Fundamentals of database systems,https://drive.google.com/file/d/1bfUO5fy0N3ebGYuAxrCXAKWxmL7ALPlI/view?usp=sharing
58.pdf,Enhancing Soft Skills and Personality,https://drive.google.com/file/d/1bjd3_OEgUizEyfyRao31lW6tpYUUoNdk/view?usp=sharing
59.pdf,Engineering Metrology,https://drive.google.com/file/d/1dhkt6WcRmlQmNN8IYkpgjQG_Zy1UTtBx/view?usp=drive_link
60.pdf,Introduction to Operating Systems,https://drive.google.com/file/d/1dhlVo-cVrZ0MQrLrTxcd9pFXWEDLHa4W/edit
61.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/1e0DioyfwL33abDEswTgR2o5YJD_gR-yB/view?usp=sharing
62.pdf,Transport phenomena,https://drive.google.com/file/d/1gBDjd_gJdtvmWVRa34UohisKkV5lfNql/view?usp=sharing
63.pdf,Electrical Machines,https://drive.google.com/file/d/1im2cmCsmqqMYXhCRMAUqA96L3Eu3onzx/view?usp=sharing
64.pdf,Computational Electromagnetics,https://drive.google.com/file/d/1k1p19NT4UC0lDmkKDThFTZcNE8TG90vn/view?usp=sharing
65.pdf,Human Molecular Genetics,https://drive.google.com/file/d/1l_VzTANzxLmgD2I6Im5BzyGQdOIMa5kG/view?usp=sharing
66.pdf,Course Design and Instruction of Engineering Course,https://drive.google.com/file/d/1laVeuelYTIo-qMNauRjG4wtNK_dPBSDd/view?usp=sharing
67.pdf,Computer Vision,https://drive.google.com/file/d/1oZbO3I7CUSwGHI0YyF4GGEoYugaJaUy6/view?usp=drive_link
68.pdf,Financial Accounting,https://drive.google.com/file/d/1olSz63RP7sTVZ3OOMwFDs58zJTdH9-Fk/view?usp=sharing
69.pdf,Microwave Integrated Circuits,https://drive.google.com/file/d/1ovtp4Opi7tGj3kwSVQtu_tlTgJ0-4i7H/view?usp=sharing
70.pdf,"Programming, Data Structures and Algorithms",https://drive.google.com/file/d/1pLtZto78uonweiRnFIPLfivNJos9XvZN/view?usp=drive_link
71.pdf,Introduction to Programming in C,https://drive.google.com/file/d/1pMw7vazwOESw39XuxwCT6UfzX9ppdtRf/view?usp=sharing
