PDF Number,Course Name,Link
0.pdf,Basic Electronics,https://drive.google.com/drive/folders/1FxrEKfyi33-pEyz4zgj1sRNohWu07Ffx
1.pdf,Natural hazards - Part 1,https://drive.google.com/file/d/1-BsxU_S2VXo1O5C3uyHNQzskCXF2BoRR/view?usp=sharing
2.pdf,Concepts of Thermodynamics,https://drive.google.com/file/d/1-Ln4d1whg0_DBbkllwfgwkRoJRToiC1i/view?usp=drive_link
3.pdf,Power System Engineering,https://drive.google.com/file/d/1-XVjQZPltxo2P-7Ht_Ft6MNNIXnDurPw/view?usp=sharing
4.pdf,Health research Fundamentals,https://drive.google.com/file/d/1-mxuRGWiLuEDmgBdVdyraCNbRm_FZE1U/view?usp=sharing
5.pdf,Globalization and Culture,https://drive.google.com/file/d/1-o45ukOI-uNGGNsPGtPmMPScthteLslA/view?usp=sharing
6.pdf,Advanced Concrete Technology,https://drive.google.com/file/d/10FiQ0ZspaHgda8Ip7NWIasdtLOJovL0O/view?usp=sharing
7.pdf,Farm Machinery,https://drive.google.com/file/d/10gNXZB2kAsKmE03FcNrZiJbkAj4zo6Iu/view?usp=sharing
8.pdf,Disaster Recovery and Build back better,https://drive.google.com/file/d/11gaaRN1AssWQc8Xqy2joETUw29e4X3IV/view?usp=sharing
9.pdf,Engineering mathematics -II,https://drive.google.com/file/d/11s4ZlLHqRmnfUiKfJgrOB-sl4rRDik2e/view?usp=sharing
10.pdf,Short Fiction in Indian Literature,https://drive.google.com/file/d/12ScSoaTb0QRdoDWX1Pd8wKdNUxZwHbR-/view?usp=sharing
11.pdf,"Programming, Data Structures and Algorithms",https://drive.google.com/file/d/12TMkK4-MmtRxUuuz8pRT5mbRCz7rr1SF/view?usp=drive_link
12.pdf,Electrical Machines,https://drive.google.com/file/d/12z6bvRFD5qjOP6UFEH0qVRVhjiqbsYJm/view?usp=sharing
13.pdf,Chemistry - I,https://drive.google.com/file/d/13V5LUgwi7deGr0SgO0eGjbHjR-O0zjby/view?usp=sharing
14.pdf,Technical English for Engineers,https://drive.google.com/file/d/145y7JMPDQuOLx1mjVVrfTTnNXK_W1L0b/view?usp=drive_link
15.pdf,Employment Communication - A Lab based course,https://drive.google.com/file/d/14S0M_Q97cuL5X15SoNHk9io9zqIkawHs/view?usp=sharing
16.pdf,Transform Calculus and its applications in Differential Equations,https://drive.google.com/file/d/14cFvDFiVPpXACOEiAf0X-pH3AUGUgv3D/view?usp=sharing
17.pdf,Artificial Intelligence : Search Methods For Problem solving,https://drive.google.com/file/d/14ooIFqUXKR_GnWdSkrq7zve9r_39-GMD/view?usp=sharing
18.pdf,Sensors and Actuators,https://drive.google.com/file/d/15YgIYcX2Ej7-Y5odRfKSuee9PhClZKd-/view?usp=sharing
19.pdf,Industrial Automation and Control,https://drive.google.com/file/d/16AomMUQUuhxcoizS81di8Znj6du5owvk/view?usp=sharing
20.pdf,Introduction to Operations Research,https://drive.google.com/file/d/16QTb_NZwLFAIfRa-HxqKm231xYtvp2sG/view?usp=sharing
21.pdf,Integral transforms and Applications,https://drive.google.com/file/d/16kV5MsVw2dBR5nwy6ZB4IesyV_FgBHnt/view?usp=sharing
22.pdf,Computer numerical control CNC of machine tools and processes,https://drive.google.com/file/d/16mOfE4kVWOVtcv1yxKkRG3tMCusuDkNc/view?usp=sharing
23.pdf,Differential equations for engineers,https://drive.google.com/file/d/16yMyIVqoSAHFlfJ7M0-HnZbI6fkp8m10/view?usp=sharing
