PDF Number,Course Name,Link
0.pdf,Experimental Physics I,https://drive.google.com/drive/folders/1YIsHG23tk7knDgPVLTjKSoQnBEy_BLKW
1.pdf,Introduction To Mineral Processing,https://drive.google.com/drive/folders/1qdcVbKANmHYm0TWsKRciDH_TQFMhwoAV
2.pdf,Computer numerical control CNC of machine tools and processes,https://drive.google.com/drive/folders/1tHcAhlpYipHNLiS55IQvX9l0eHt8vJVo
3.pdf,Microprocessors and Microcontrollers,https://drive.google.com/drive/folders/1yjgH2T9q7e27OhKnliMv5V8Z127ZtbaL
4.pdf,Transport phenomena,https://drive.google.com/drive/u/0/folders/1ggYo5mFKRpEtqugEz6xTieLep3BhObxZ
5.pdf,Microwave Theory and Techniques,https://drive.google.com/file/d/1-4PwgHAaYk4G5_EamKWd6DQ8kiKAdUFV/view?usp=sharing
6.pdf,Services Marketing: A Practical Approach,https://drive.google.com/file/d/105q41BtVLT55c7fBEpV8e5kU3keBTrkU/view?usp=sharing
7.pdf,Bioreactors,https://drive.google.com/file/d/10A8ca9GpUzanNeLctt_PYK5iH3BpgSVR/view?usp=sharing
8.pdf,Engineering Mechanics: Statics and Dynamics,https://drive.google.com/file/d/10YzYjCbnAPab15z_fc0XwWaDRhAF-V8l/view?usp=sharing
9.pdf,Body Language: Key to professional Success,https://drive.google.com/file/d/11GAenaYNE7HfLQmZVzA4Q48tVEPY4z6-/view?usp=sharing
10.pdf,Database management System,https://drive.google.com/file/d/11hXZpPL6i3aRCC83CQ6EFv5S1GJoPj5m/view?usp=sharing
11.pdf,Design of Steel Structures,https://drive.google.com/file/d/12En_zoyt1htUdfYmnuexeJ3fdiCyPlZC/view?usp=sharing
12.pdf,Switching Circuits and Logic Design,https://drive.google.com/file/d/12Rqm1PibO4QVfVcRIXYgFEXzYg-mMKfx/view?usp=sharing
13.pdf,Semiconductor Devices and Circuits,https://drive.google.com/file/d/12SoircwCfpxvyv9HLgJw57V6DWGnvTpM/view?usp=drive_link
14.pdf,Nonlinear and Adaptive Control,https://drive.google.com/file/d/12o6-i08KhGIk9icY07TeDqQoHa-xa1Mz/view?usp=sharing
15.pdf,Human molecular genetics,https://drive.google.com/file/d/146syBtXQrAYSs90h5Gm6brgii4-4fpea/view?usp=sharing
16.pdf,Software Testing,https://drive.google.com/file/d/14MT916fykmcjVrBpCQl1J6kTlsPGRdtC/view?usp=sharing
17.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/150mAr81F4WgFdKwXqkynejn-wgnXxWEk/view?usp=sharing
18.pdf,Introduction to Industry 4.0 and Industrial Internet of Things,https://drive.google.com/file/d/16p8IeSzhnG5eUblLtwRGbLqJh8hmCcNA/view?usp=sharing
19.pdf,Managing Intellectual Property in Universities,https://drive.google.com/file/d/17wx1v8i_fLRHBcUAr91r3_zFL7iH5KQQ/view?usp=sharing
20.pdf,Sensors nd Actuators,https://drive.google.com/file/d/18y-qr6rHS6Mb3ZtkmkBhZRbBg9XOIcQ_/view?usp=sharing
21.pdf,Psychology of Everyday,https://drive.google.com/file/d/1ARUGJaK6oW-ImHmySn1Lqk28vD-c3-5F/view?usp=sharing
22.pdf,Cell Culture Technologies,https://drive.google.com/file/d/1Ak4LFlj6c_cSQYRTUWRWS9ESumpgOyZD/view?usp=sharing
