Main_PRID,Language,Extracted_PRID,Extracted_Language
1564000,NaN,1563709,English
1564000,NaN,1564054,Marathi
1564000,NaN,1563791,Hindi
1564000,NaN,1563737,Gujarati
1564000,NaN,1563715,Tamil
1564000,NaN,1563743,Kannada
1564001,NaN,1563696,English
1564001,NaN,1563881,Marathi
1564001,NaN,1563712,Hindi
1564001,NaN,1563733,Gujarati
1564001,NaN,1563718,Tamil
1564001,NaN,1563741,Kannada
1564002,NaN,1564177,Assamese
1564002,NaN,1563877,English
1564002,NaN,1563956,Urdu
1564002,NaN,1563936,Hindi
1564002,NaN,1564110,Marathi
1564002,NaN,1563948,Gujarati
1564002,NaN,1564174,Kannada
1564003,NaN,1563778,English
1564003,NaN,1563864,Marathi
1564003,NaN,1563820,Hindi
1564004,NaN,1563544,Hindi
1564004,NaN,1563575,Marathi
1564004,NaN,1563458,English
1564004,NaN,1563515,Urdu
1564005,NaN,1563974,English
1564006,NaN,1564160,Urdu
1564006,NaN,1564034,Hindi
1564007,NaN,1563976,English
1564007,NaN,1564121,Marathi
1564007,NaN,1564008,Hindi
1564009,NaN,1564107,Urdu
1564009,NaN,1564116,Marathi
1564009,NaN,1564027,Hindi
1564009,NaN,1564069,Gujarati
1564009,NaN,1564050,Malayalam
1564010,NaN,NaN,NaN
1564011,NaN,1564164,Urdu
1564012,NaN,NaN,NaN
1564013,NaN,1564080,Urdu
1564014,NaN,NaN,NaN
1564015,NaN,NaN,NaN
1564016,NaN,NaN,NaN
1564017,NaN,1564105,Urdu
1564018,NaN,NaN,NaN
1564019,NaN,1564104,Urdu
1564020,NaN,1564029,Hindi
1564020,NaN,1564090,Gujarati
1564021,NaN,1564406,Assamese
1564021,NaN,1563784,English
1564021,NaN,1563871,Urdu
1564021,NaN,1563913,Marathi
1564021,NaN,1563852,Hindi
1564021,NaN,1563849,Gujarati
1564021,NaN,1563949,Tamil
1564021,NaN,1563964,Kannada
1564022,NaN,1563758,English
1564022,NaN,1564028,Gujarati
1564022,NaN,1564403,Assamese
1564022,NaN,1564572,Marathi
1564022,NaN,1565428,Hindi
1564022,NaN,1563904,Tamil
1564022,NaN,1563965,Kannada
1564023,NaN,1563870,English
1564023,NaN,1563960,Urdu
1564023,NaN,1563919,Hindi
1564023,NaN,1563917,Marathi
1564023,NaN,1563951,Gujarati
1564023,NaN,1563985,Tamil
1564023,NaN,1564175,Kannada
1564024,NaN,1563927,English
1564025,NaN,1563932,English
1564025,NaN,1563977,Urdu
1564026,NaN,1564202,Urdu
1564026,NaN,1564117,Marathi
1564030,NaN,NaN,NaN
1564031,NaN,1564094,Hindi
1564032,NaN,1564093,Hindi
1564033,NaN,1564111,Hindi
1564035,NaN,NaN,NaN
1564036,NaN,NaN,NaN
1564037,NaN,NaN,NaN
1564038,NaN,NaN,NaN
1564039,NaN,1564157,Urdu
1564040,NaN,1564251,Hindi
1564041,NaN,1564207,Urdu
1564042,NaN,NaN,NaN
1564043,NaN,NaN,NaN
1564044,NaN,1563639,English
1564045,NaN,NaN,NaN
1564046,NaN,NaN,NaN
1564047,NaN,1563649,English
1564048,NaN,NaN,NaN
1564049,NaN,NaN,NaN
1564051,NaN,1563970,English
1564051,NaN,1563997,Marathi
1564052,NaN,NaN,NaN
1564055,NaN,NaN,NaN
1564056,NaN,NaN,NaN
1564057,NaN,1564191,Urdu
1564058,NaN,NaN,NaN
1564059,NaN,NaN,NaN
1564060,NaN,1564167,Urdu
1564061,NaN,NaN,NaN
1564062,NaN,1564204,Urdu
1564063,NaN,1564190,Urdu
1564063,NaN,1564222,Hindi
1564064,NaN,1564205,Urdu
1564065,NaN,NaN,NaN
1564066,NaN,1564155,Hindi
1564067,NaN,NaN,NaN
1564068,NaN,1563491,English
1564070,NaN,NaN,NaN
1564071,NaN,1564122,Hindi
1564072,NaN,NaN,NaN
1564073,NaN,1564135,Hindi
1564074,NaN,NaN,NaN
1564075,NaN,1563681,Assamese
1564075,NaN,1563652,English
1564075,NaN,1563774,Urdu
1564075,NaN,1563661,Hindi
1564075,NaN,1563879,Marathi
1564075,NaN,1563692,Gujarati
1564075,NaN,1563747,Kannada
1564076,NaN,NaN,NaN
1564077,NaN,1563953,English
1564077,NaN,1563955,Hindi
1564077,NaN,1564180,Assamese
1564077,NaN,1563982,Gujarati
1564077,NaN,1566467,Tamil
1564077,NaN,1564193,Malayalam
1564078,NaN,1563968,English
1564078,NaN,1564091,Hindi
